Player Name,School Name,Position,Height,Year,Games Started,PPG,RebPG,AstPG,+/-,FG%,3FG%,FT%
Jelani Williams,Howard,G,6'5,Senior,1,7.8,4.6,4,-8,41,25,100
Joshua Strong,Howard,G,6',Senior,12,3.6,1.4,1.3,-52,48.4,47.7,72.4
Kelechi Okworogwo,UMES,F,6'6,Sophomore,3,4.3,2.2,0.2,-15,50.6,26.3,61.3
Omar Croskey,South Carolina St.,G,6'5,Junior,24,7.4,3.3,0.9,-71,36.9,29.8,80.3
Martaz Robinson,Delaware St.,G,6'2,Senior,31,16,6.4,2.1,-51,41.1,31,85.1
Gilbert Brown,Norfolk St.,G,6',Junior,0,0.9,0.4,0.4,14,33.3,66.7,33.3
George Beale Jr.,Norfolk St.,G,6'4,Sophomore,1,2.9,0.6,0.1,-32,39.5,31.8,75
Terrance Jones,Norfolk St.,G,6'3,Junior,2,2.6,1,0.4,-10,27.3,14.3,100
Jack Doumbia,Norfolk St.,F,6'6,Junior,2,4.5,1.5,0.3,17,49.3,22.2,69
Emmanuel Izunabor,N.C. Central,F,6'8,Senior,17,4.5,5.2,0.3,3,61.8,NA,58.5
Kuluel Mading,Norfolk St.,F,6'9,Junior,23,5.2,3.4,0.4,18,43,17.1,67.6
Fred Cleveland Jr.,N.C. Central,G,5'9,Senior,25,14.6,4.4,5.4,67,36.4,33.5,77.9
Nyzaiah Chambers,Norfolk St.,F,6'7,Senior,8,3.1,3,0.3,-65,50.8,25,40.9
Tyrese Jenkins,Norfolk St.,G,6'6,Senior,5,3,2.4,0.8,2,32.9,26.9,50
Daryl Anderson,Norfolk St.,G,6'6,Senior,6,3.2,1.6,0.2,-35,41.9,40.5,90.9
Luka Tekavcic,Coppin St.,F,6'11,Junior,5,2.4,2,0.6,-97,43.8,40,57.1
Kye Dickson,N.C. Central,F,6'7,Junior,0,1.6,2.2,0.1,18,30.8,0,50
Shaman Alston,South Carolina St.,G,6'4,Senior,8,3,1.7,1.2,-97,31,33.3,52.9
Josh Smith,N.C. Central,G,6'4,Sophomore,2,6.3,1.4,0.8,20,43.4,45.9,70.6
Cobey Harraway,N.C. Central,G,6'7,Junior,8,1.1,1.5,0.2,-83,19.2,18.8,27.3
Dallas James,South Carolina St.,F,7',Senior,14,0.8,1.3,0,-8,52.6,NA,16.7
Po'Boigh King,N.C. Central,G,6'4,Sophomore,25,14.6,5,1.6,36,41.8,33.1,76.7
Justin Winston,Coppin St.,F,6'8,Senior,20,13.2,5.3,0.7,-233,39.9,30.3,86.7
Greg Spurlock,Coppin St.,G,6'5,Junior,25,8.4,4,1.6,-292,37.8,26.3,83.3
Christian Ings,Norfolk St.,G,6'2,Senior,18,8.4,2.2,1.9,-4,44.2,31.6,76.1
Seth Towns,Howard,F,6'9,Senior,27,13.9,6.5,2.4,15,36,34.3,83.9
Davion Everett,South Carolina St.,F,6'6,Junior,19,6.4,5.6,1,-85,50,0,47.8
Tyler Mack,UMES,G,6'5,Junior,11,4.6,1.4,0.5,-150,30.7,32.4,50
Bryce Harris,Howard,G,6'4,Junior,33,16.8,7.7,1.7,9,54.6,35.8,74.2
Miles Stewart,Howard,F,6'7,Sophomore,0,0.9,1,0,-31,50,0,33.3
Jordan Hairston,Howard,G,6',Junior,9,6.4,1.8,1.1,54,42.9,39.8,82.7
Caleb McCarty,South Carolina St.,F,6'8,Freshman,12,4.7,4.1,0.9,-58,56.1,0,64
Atiba Taylor,South Carolina St.,G,6'4,Senior,3,5.5,1.3,0.9,-75,34.9,35.6,90
Damani Claxton,UMES,G,6',Sophomore,0,2.8,1.5,1.9,-107,34.2,22.7,66.7
Isiah Warfield,Howard,G,6'5,Junior,15,7.2,3.2,3,12,40.4,32.6,87.5
